,Creditability,Account_Balance,Duration_of_Credit_monthly,Payment_Status_of_Previous_Credit,Purpose,Credit_Amount,Value_Savings_Stocks,Length_of_current_employment,Instalment_per_cent,Sex_Marital_Status,Guarantors,Duration_in_Current_address,Most_valuable_available_asset,Age_years,Concurrent_Credits,Type_of_apartment,No_of_Credits_at_this_Bank,Occupation,No_of_dependents,Telephone,Foreign_Worker
141,1,200 DM or Above,9,Paid Up,Repair,3832,Above 1000,Above 7,Above 35%,"Male, Married/Widowed",None,Above 7,None,64,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
142,1,None,24,Paid Up,Furniture,5084,Above 1000,Above 7,"(25%, 35%)","Male, Single",None,Above 7,Life Insurance,42,None,Rented,1,Skilled,3 or More,Yes,No
143,1,200 DM or Above,9,Previous Credits Paid,Used Car,2406,None,Unemployed,"(25%, 35%)","Male, Married/Widowed",None,"[4, 7)",Life Insurance,31,None,Rented,1,Executive,3 or More,No,No
144,1,200 DM or Above,36,Paid Up,Furniture,2394,Above 1000,"[1, 4)",Below 20%,"Male, Single",None,Above 7,Life Insurance,25,None,Rented,1,Skilled,3 or More,No,No
145,1,200 DM or Above,21,Paid Up,New Car,2476,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,None,46,None,Rented,1,Executive,3 or More,Yes,No
146,1,No Account,24,Paid Up,New Car,2964,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Real Estate,49,Other Banks,Owned,1,Skilled,Less than 3,Yes,No
147,1,No Account,12,Paid Up,Used Car,1262,Above 1000,Above 7,"(25%, 35%)","Male, Divorced",None,Above 7,Car,49,None,Rented,1,Unskilled Permanent Resident,3 or More,Yes,No
148,1,200 DM or Above,12,Paid Up,Retraining,1542,None,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,Above 7,Life Insurance,36,None,Rented,1,Skilled,3 or More,Yes,No
149,1,None,24,Previous Credits Paid,Furniture,1743,None,Above 7,Below 20%,"Male, Married/Widowed",None,"[1, 4)",Car,48,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
150,1,Below 200 DM,12,Other Credits,Furniture,409,"[500, 1000)","[1, 4)","[20%, 25%)","Male, Single",None,"[4, 7)",None,42,None,Free,2 or 3,Skilled,3 or More,No,No
151,1,200 DM or Above,12,Paid Up,Furniture,2171,None,<1 Year,"(25%, 35%)","Male, Single",None,"[1, 4)",Life Insurance,29,Other Banks,Rented,1,Skilled,3 or More,No,No
152,1,200 DM or Above,48,Previous Credits Paid,New Car,8858,Above 1000,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,<1 Year,Real Estate,35,None,Owned,2 or 3,Skilled,3 or More,Yes,No
153,1,None,24,Paid Up,Other,3512,Below 100 DM,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,"[4, 7)",Life Insurance,38,Other Banks,Rented,2 or 3,Skilled,3 or More,Yes,No
154,1,None,12,Paid Up,Furniture,1158,"[100, 500)","[1, 4)","[20%, 25%)","Male, Divorced",None,<1 Year,Life Insurance,26,None,Rented,1,Skilled,3 or More,Yes,No
155,1,200 DM or Above,24,Previous Credits Paid,Furniture,2684,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",None,35,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
156,1,No Account,12,Paid Up,Furniture,1498,None,"[1, 4)",Below 20%,"Male, Single",None,<1 Year,Life Insurance,23,Other Banks,Rented,1,Skilled,3 or More,No,No
157,1,200 DM or Above,30,Previous Credits Paid,Furniture,5954,None,"[4, 7)","[20%, 25%)","Male, Married/Widowed",Co-applicant,"[1, 4)",Life Insurance,38,None,Rented,1,Skilled,3 or More,No,No
158,0,None,48,Other Credits,Retraining,6416,None,Above 7,Below 20%,"Male, Single",None,"[4, 7)",Real Estate,59,None,Free,1,Skilled,3 or More,No,No
159,1,None,12,Previous Credits Paid,Used Car,3617,None,Above 7,Above 35%,"Male, Married/Widowed",None,Above 7,Life Insurance,28,None,Free,4 or 5,Skilled,3 or More,Yes,No
160,1,200 DM or Above,12,Previous Credits Paid,Furniture,1291,None,"[1, 4)",Below 20%,"Male, Single",None,"[1, 4)",Car,35,None,Rented,2 or 3,Skilled,3 or More,No,No
161,1,Below 200 DM,24,Previous Credits Paid,Retraining,1275,"[500, 1000)","[1, 4)","(25%, 35%)","Male, Divorced",None,Above 7,None,36,None,Rented,2 or 3,Skilled,3 or More,Yes,No
162,1,200 DM or Above,24,Paid Up,Used Car,3972,None,"[4, 7)","(25%, 35%)","Male, Single",None,Above 7,Car,25,None,Free,1,Skilled,3 or More,Yes,No
163,1,200 DM or Above,15,Previous Credits Paid,Used Car,3343,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Real Estate,28,None,Owned,1,Skilled,3 or More,Yes,No
164,1,Below 200 DM,15,Paid Up,Repair,392,None,<1 Year,Below 20%,"Male, Single",None,Above 7,Car,23,None,Free,1,Skilled,3 or More,Yes,No
165,1,200 DM or Above,9,Previous Credits Paid,Other,2134,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,48,None,Rented,4 or 5,Skilled,3 or More,Yes,No
166,1,200 DM or Above,30,Previous Credits Paid,Furniture,5771,None,"[4, 7)",Below 20%,"Male, Single",None,"[1, 4)",Life Insurance,25,None,Rented,2 or 3,Skilled,3 or More,No,No
167,1,200 DM or Above,24,Previous Credits Paid,Retraining,4526,None,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",None,74,None,Rented,1,Executive,3 or More,Yes,No
168,1,200 DM or Above,15,Previous Credits Paid,Used Car,2788,None,"[4, 7)","(25%, 35%)","Male, Single",Co-applicant,"[4, 7)",Life Insurance,24,Other Banks,Rented,2 or 3,Skilled,3 or More,No,No
169,1,200 DM or Above,6,Previous Credits Paid,Furniture,1382,None,"[1, 4)",Above 35%,"Male, Single",None,<1 Year,Life Insurance,28,None,Rented,2 or 3,Skilled,3 or More,Yes,No
170,1,Below 200 DM,36,Paid Up,Furniture,5848,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,<1 Year,Life Insurance,24,None,Rented,1,Skilled,3 or More,No,No
171,0,No Account,12,Paid Up,Other,1228,None,"[1, 4)",Below 20%,"Male, Single",None,"[1, 4)",None,24,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
172,1,Below 200 DM,12,Paid Up,Furniture,1297,None,"[1, 4)","[20%, 25%)",Female,None,Above 7,None,23,None,Free,1,Skilled,3 or More,No,No
173,1,200 DM or Above,24,Paid Up,Furniture,1552,None,"[4, 7)","[20%, 25%)","Male, Married/Widowed",None,<1 Year,Life Insurance,32,Other Banks,Rented,1,Skilled,Less than 3,No,No
174,1,200 DM or Above,12,Paid Up,Furniture,1963,None,"[4, 7)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,31,None,Free,2 or 3,Executive,Less than 3,Yes,No
175,1,200 DM or Above,24,Paid Up,Furniture,3235,"[100, 500)",Above 7,"[20%, 25%)","Male, Divorced",None,"[1, 4)",Life Insurance,36,None,Rented,1,Executive,3 or More,Yes,No
176,1,200 DM or Above,24,Previous Credits Paid,Retraining,4139,Below 100 DM,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,"[4, 7)",Car,27,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,Yes,No
177,1,None,12,Previous Credits Paid,New Car,1804,Below 100 DM,<1 Year,"[20%, 25%)","Male, Married/Widowed",None,Above 7,Car,44,None,Rented,1,Skilled,3 or More,No,No
178,1,200 DM or Above,18,Paid Up,Retraining,1950,None,"[4, 7)",Below 20%,"Male, Married/Widowed",None,<1 Year,Life Insurance,34,Dept. Store,Rented,2 or 3,Skilled,3 or More,Yes,No
179,1,200 DM or Above,48,No Problem with Current Credits,Furniture,12749,"[100, 500)","[4, 7)",Below 20%,"Male, Married/Widowed",None,<1 Year,Life Insurance,37,None,Rented,1,Executive,3 or More,Yes,No
180,1,200 DM or Above,9,Paid Up,Radio/TV,1236,None,<1 Year,Above 35%,"Male, Single",None,Above 7,None,23,None,Free,1,Skilled,3 or More,Yes,No
181,1,200 DM or Above,18,Previous Credits Paid,Other,1055,None,<1 Year,Below 20%,"Male, Single",None,<1 Year,Car,30,None,Rented,2 or 3,Skilled,3 or More,No,No
182,1,No Account,30,Delayed,Retraining,8072,Above 1000,<1 Year,"(25%, 35%)","Male, Married/Widowed",None,"[4, 7)",Life Insurance,25,Other Banks,Rented,4 or 5,Skilled,3 or More,No,No
183,1,200 DM or Above,30,Previous Credits Paid,Furniture,2831,None,"[1, 4)",Below 20%,"Male, Single",None,"[1, 4)",Life Insurance,33,None,Rented,1,Skilled,3 or More,Yes,No
184,1,200 DM or Above,9,Paid Up,Retraining,1449,None,"[4, 7)","[20%, 25%)","Male, Single",None,"[1, 4)",Life Insurance,27,None,Rented,2 or 3,Skilled,3 or More,No,No
185,1,200 DM or Above,36,Paid Up,Retraining,5742,Below 100 DM,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,31,None,Rented,2 or 3,Skilled,3 or More,Yes,No
186,1,200 DM or Above,12,Paid Up,Other,2390,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,"[4, 7)",Life Insurance,50,None,Rented,1,Skilled,3 or More,Yes,No
187,1,200 DM or Above,24,Paid Up,Furniture,3430,"[100, 500)",Above 7,"[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,31,None,Rented,1,Skilled,Less than 3,Yes,No
188,1,None,36,Paid Up,Repair,2273,None,"[4, 7)","[20%, 25%)","Male, Married/Widowed",None,<1 Year,Life Insurance,32,None,Rented,2 or 3,Skilled,Less than 3,No,No
189,1,Below 200 DM,21,Paid Up,Other,2923,Below 100 DM,"[1, 4)",Above 35%,"Male, Single",None,<1 Year,Life Insurance,28,Other Banks,Rented,1,Executive,3 or More,Yes,No
190,1,200 DM or Above,24,Paid Up,Furniture,1901,Below 100 DM,"[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,29,None,Free,1,Executive,3 or More,Yes,No
191,1,None,36,Paid Up,Repair,3711,Above 1000,"[1, 4)","(25%, 35%)",Female,None,"[1, 4)",Life Insurance,27,None,Rented,1,Skilled,3 or More,No,No
192,1,None,48,Paid Up,Other,8487,Above 1000,"[4, 7)",Above 35%,"Male, Single",None,"[1, 4)",Life Insurance,24,None,Rented,1,Skilled,3 or More,No,No
193,1,200 DM or Above,24,Paid Up,Other,2255,Above 1000,<1 Year,Below 20%,"Male, Married/Widowed",None,<1 Year,Car,54,None,Rented,1,Skilled,3 or More,No,No
194,1,200 DM or Above,12,Paid Up,Furniture,1262,None,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,25,None,Rented,1,Skilled,3 or More,No,No
195,1,200 DM or Above,33,Previous Credits Paid,New Car,7253,None,"[4, 7)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,35,None,Rented,2 or 3,Executive,3 or More,Yes,No
196,1,200 DM or Above,6,Previous Credits Paid,Other,6761,None,"[4, 7)",Above 35%,"Male, Married/Widowed",None,"[4, 7)",Real Estate,45,None,Rented,2 or 3,Executive,Less than 3,Yes,No
197,1,200 DM or Above,18,Previous Credits Paid,Used Car,1817,None,"[1, 4)",Below 20%,"Male, Single",None,"[1, 4)",Real Estate,28,None,Rented,2 or 3,Skilled,3 or More,No,No
198,1,200 DM or Above,12,Paid Up,Furniture,2141,Below 100 DM,"[4, 7)","[20%, 25%)","Male, Married/Widowed",None,<1 Year,Real Estate,35,None,Rented,1,Skilled,3 or More,No,No
199,1,200 DM or Above,48,Other Credits,Retraining,3609,None,"[1, 4)",Above 35%,"Male, Single",None,<1 Year,None,27,Dept. Store,Rented,1,Skilled,3 or More,No,No
200,1,200 DM or Above,30,Paid Up,Furniture,2333,"[100, 500)",Above 7,Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,30,Other Banks,Rented,1,Executive,3 or More,No,No
201,1,200 DM or Above,28,Other Credits,New Car,7824,Above 1000,<1 Year,"[20%, 25%)","Male, Married/Widowed",Guarantor,Above 7,None,40,Other Banks,Free,2 or 3,Skilled,Less than 3,Yes,No
202,1,Below 200 DM,18,Other Credits,Furniture,1445,Above 1000,"[4, 7)",Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,49,Other Banks,Rented,1,Unskilled Permanent Resident,3 or More,No,No
203,1,No Account,24,Paid Up,Used Car,7721,Above 1000,<1 Year,Above 35%,"Male, Single",None,"[1, 4)",Car,30,None,Rented,1,Skilled,3 or More,Yes,Yes
204,1,No Account,21,Paid Up,Other,3763,Above 1000,"[4, 7)","(25%, 35%)","Male, Married/Widowed",Co-applicant,"[1, 4)",None,24,None,Rented,1,Unskilled Permanent Resident,3 or More,No,Yes
205,1,None,18,Paid Up,Retraining,4439,None,Above 7,Above 35%,"Male, Married/Widowed",Co-applicant,<1 Year,None,33,Other Banks,Rented,1,Executive,3 or More,Yes,No
206,1,No Account,12,Paid Up,Furniture,1107,None,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",None,20,None,Free,1,Executive,Less than 3,Yes,No
207,1,None,15,Paid Up,Furniture,1444,Above 1000,<1 Year,Below 20%,"Male, Married/Widowed",None,<1 Year,Car,23,None,Rented,1,Skilled,3 or More,No,No
208,1,None,48,Other Credits,Other,12169,Above 1000,Unemployed,Below 20%,"Male, Married/Widowed",Co-applicant,Above 7,Real Estate,36,None,Owned,1,Executive,3 or More,Yes,No
209,1,200 DM or Above,9,Paid Up,Furniture,2753,Below 100 DM,Above 7,"[20%, 25%)","Male, Married/Widowed",Co-applicant,Above 7,Life Insurance,35,None,Rented,1,Skilled,3 or More,Yes,No
210,1,Below 200 DM,4,Paid Up,Other,1494,Above 1000,<1 Year,Above 35%,"Male, Married/Widowed",None,"[1, 4)",None,29,None,Rented,1,Unskilled Permanent Resident,Less than 3,No,Yes
211,1,No Account,24,Other Credits,Used Car,2828,"[100, 500)","[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,None,22,Dept. Store,Rented,1,Skilled,3 or More,Yes,No
212,1,No Account,24,Other Credits,Used Car,2483,"[100, 500)","[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,None,22,Dept. Store,Rented,1,Skilled,3 or More,Yes,No
213,1,Below 200 DM,6,Previous Credits Paid,Other,1299,None,"[1, 4)",Above 35%,"Male, Married/Widowed",None,<1 Year,None,74,None,Rented,4 or 5,"Unemployed, unskilled",Less than 3,No,Yes
214,1,None,9,Paid Up,Other,1549,Above 1000,<1 Year,Below 20%,"Male, Married/Widowed",None,"[1, 4)",None,35,None,Rented,1,"Unemployed, unskilled",3 or More,No,No
215,1,Below 200 DM,10,Paid Up,Other,3949,None,<1 Year,Above 35%,"Male, Married/Widowed",Guarantor,<1 Year,Car,37,None,Rented,1,Unskilled Permanent Resident,Less than 3,No,No
216,1,200 DM or Above,10,Paid Up,New Car,2901,Above 1000,<1 Year,Above 35%,"Male, Single",None,Above 7,None,31,None,Free,1,Skilled,3 or More,No,No
217,1,Below 200 DM,6,Paid Up,Other,709,"[500, 1000)",<1 Year,"(25%, 35%)",Female,None,"[1, 4)",None,27,None,Rented,1,"Unemployed, unskilled",3 or More,No,Yes
218,1,No Account,47,Paid Up,Other,10722,None,<1 Year,Above 35%,"Male, Single",None,<1 Year,None,35,None,Rented,1,Unskilled Permanent Resident,3 or More,Yes,No
219,1,200 DM or Above,10,Paid Up,Other,1287,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",Co-applicant,"[1, 4)",Car,45,None,Rented,1,Unskilled Permanent Resident,3 or More,No,Yes
220,1,No Account,18,Other Credits,Furniture,1940,None,<1 Year,"[20%, 25%)","Male, Married/Widowed",Co-applicant,Above 7,Real Estate,36,Other Banks,Owned,1,Executive,3 or More,Yes,No
221,1,Below 200 DM,30,Previous Credits Paid,Furniture,3656,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Car,49,Dept. Store,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
222,1,200 DM or Above,24,No Problem with Current Credits,New Car,4679,None,"[4, 7)","[20%, 25%)","Male, Married/Widowed",None,"[4, 7)",Life Insurance,35,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,Yes,No
223,1,200 DM or Above,27,No Problem with Current Credits,New Car,8613,"[500, 1000)","[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,27,None,Rented,2 or 3,Skilled,3 or More,No,No
224,1,No Account,18,Paid Up,Used Car,2659,"[500, 1000)","[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,28,None,Rented,1,Skilled,3 or More,No,No
225,1,200 DM or Above,24,Previous Credits Paid,Furniture,1516,"[500, 1000)","[1, 4)",Below 20%,"Male, Single",None,<1 Year,None,43,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
226,1,No Account,18,Paid Up,Other,4380,Below 100 DM,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,Above 7,Life Insurance,35,None,Rented,1,Unskilled Permanent Resident,Less than 3,Yes,No
227,1,200 DM or Above,14,No Problem with Current Credits,Other,802,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,27,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
228,1,200 DM or Above,21,Paid Up,Retraining,1572,"[500, 1000)",Above 7,Below 20%,"Male, Single",None,Above 7,None,36,Other Banks,Rented,1,Unskilled Permanent Resident,3 or More,No,No
229,1,None,48,Other Credits,Retraining,3566,Below 100 DM,"[4, 7)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,30,None,Rented,1,Skilled,3 or More,No,No
230,1,200 DM or Above,24,Paid Up,Furniture,1278,None,Above 7,Below 20%,"Male, Married/Widowed",None,<1 Year,None,36,None,Rented,1,Executive,3 or More,Yes,No
231,1,200 DM or Above,6,Delayed,Furniture,426,None,Above 7,Below 20%,Female,None,Above 7,Life Insurance,39,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
232,1,200 DM or Above,39,Paid Up,New Car,8588,Below 100 DM,Above 7,Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,45,None,Rented,1,Executive,3 or More,Yes,No
233,1,No Account,30,Paid Up,New Car,3857,None,"[1, 4)",Below 20%,"Male, Divorced",None,Above 7,Car,40,None,Rented,1,Executive,3 or More,Yes,No
234,0,None,12,Paid Up,Other,685,None,"[4, 7)","(25%, 35%)",Female,None,"[4, 7)",Life Insurance,25,Other Banks,Rented,1,Unskilled Permanent Resident,3 or More,No,No
235,1,No Account,24,Paid Up,Furniture,1603,None,Above 7,Below 20%,"Male, Single",None,Above 7,Life Insurance,55,None,Rented,1,Skilled,3 or More,No,No
236,1,200 DM or Above,21,Paid Up,Used Car,2241,None,Above 7,Below 20%,"Male, Married/Widowed",None,"[1, 4)",None,50,None,Rented,2 or 3,Skilled,3 or More,No,No
237,1,No Account,24,Paid Up,Furniture,2384,None,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,None,64,Other Banks,Free,1,Unskilled Permanent Resident,3 or More,No,No
238,1,200 DM or Above,4,Paid Up,Used Car,601,None,<1 Year,Above 35%,"Male, Single",None,"[4, 7)",None,23,None,Free,1,Unskilled Permanent Resident,Less than 3,No,No
239,1,200 DM or Above,39,Paid Up,New Car,2569,"[100, 500)","[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,24,None,Rented,1,Skilled,3 or More,No,No
240,1,200 DM or Above,15,Previous Credits Paid,Furniture,1316,"[100, 500)","[1, 4)","(25%, 35%)",Female,None,"[1, 4)",Car,47,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
241,1,200 DM or Above,60,Paid Up,Other,10366,None,Above 7,"(25%, 35%)","Male, Married/Widowed",None,Above 7,Car,42,None,Rented,1,Executive,3 or More,Yes,No
242,1,200 DM or Above,18,Paid Up,Retraining,1568,Below 100 DM,"[1, 4)","[20%, 25%)","Male, Single",None,Above 7,Car,24,None,Free,1,Unskilled Permanent Resident,3 or More,No,No
243,1,200 DM or Above,18,Previous Credits Paid,Furniture,629,"[100, 500)",Above 7,Below 20%,"Male, Married/Widowed",None,"[4, 7)",Car,32,Other Banks,Rented,2 or 3,Executive,3 or More,Yes,No
244,1,200 DM or Above,6,Other Credits,Furniture,1750,"[100, 500)",Above 7,"(25%, 35%)","Male, Married/Widowed",None,Above 7,Car,45,Other Banks,Rented,1,Unskilled Permanent Resident,Less than 3,No,No
245,1,200 DM or Above,24,Paid Up,New Car,3488,Below 100 DM,"[4, 7)","[20%, 25%)","Male, Single",None,Above 7,Life Insurance,23,None,Rented,1,Skilled,3 or More,No,No
246,1,200 DM or Above,18,Previous Credits Paid,Furniture,1800,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,24,None,Rented,2 or 3,Skilled,3 or More,No,No
247,1,200 DM or Above,24,No Problem with Current Credits,Used Car,4151,Below 100 DM,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[4, 7)",Car,35,None,Rented,2 or 3,Skilled,3 or More,No,No
248,1,None,15,Paid Up,Appliances,2631,Below 100 DM,"[1, 4)","[20%, 25%)","Male, Single",None,"[1, 4)",None,25,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
249,1,200 DM or Above,21,Paid Up,New Car,5248,Above 1000,"[1, 4)",Above 35%,"Male, Married/Widowed",None,"[4, 7)",Life Insurance,26,None,Rented,1,Skilled,3 or More,No,No
250,1,None,18,No Problem with Current Credits,Other,2899,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,43,None,Rented,1,Skilled,Less than 3,No,No
251,1,None,18,No Problem with Current Credits,Appliances,6204,None,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,Above 7,None,44,None,Rented,1,Unskilled Permanent Resident,Less than 3,Yes,No
252,1,200 DM or Above,12,Paid Up,Furniture,804,None,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,38,None,Rented,1,Skilled,3 or More,No,No
253,1,200 DM or Above,36,Paid Up,Furniture,3595,None,Above 7,Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,28,None,Rented,1,Skilled,3 or More,No,No
254,1,200 DM or Above,36,Previous Credits Paid,New Car,5711,"[500, 1000)",Above 7,Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,38,None,Rented,2 or 3,Executive,3 or More,Yes,No
255,1,Below 200 DM,15,Paid Up,Retraining,2687,None,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,Above 7,Car,26,None,Free,1,Skilled,3 or More,Yes,No
256,1,No Account,15,No Problem with Current Credits,Used Car,3643,None,Above 7,Above 35%,"Male, Single",None,Above 7,Car,27,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
257,1,200 DM or Above,10,Previous Credits Paid,Used Car,2146,None,<1 Year,Above 35%,"Male, Single",None,"[4, 7)",None,23,None,Free,2 or 3,Skilled,3 or More,No,No
258,1,No Account,10,Paid Up,Furniture,2315,None,Above 7,"[20%, 25%)","Male, Married/Widowed",None,Above 7,None,52,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
259,1,200 DM or Above,5,Paid Up,Retraining,3448,None,"[4, 7)",Above 35%,"Male, Married/Widowed",None,Above 7,None,74,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
260,1,200 DM or Above,15,Paid Up,Used Car,2708,None,<1 Year,"(25%, 35%)","Male, Married/Widowed",None,"[4, 7)",Car,27,Other Banks,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
261,1,200 DM or Above,11,Previous Credits Paid,Other,1393,None,<1 Year,Below 20%,"Male, Single",None,Above 7,Life Insurance,35,None,Rented,2 or 3,Executive,3 or More,No,No
262,1,Below 200 DM,10,Paid Up,Used Car,1275,None,<1 Year,Below 20%,"Male, Single",None,"[1, 4)",Car,23,None,Rented,1,Skilled,3 or More,No,No
263,1,200 DM or Above,9,Paid Up,Used Car,1313,None,Above 7,Above 35%,"Male, Married/Widowed",None,Above 7,Life Insurance,20,None,Rented,1,Skilled,3 or More,No,No
264,1,200 DM or Above,12,Paid Up,Furniture,1493,None,<1 Year,Below 20%,"Male, Single",None,"[4, 7)",Life Insurance,34,None,Rented,1,Skilled,Less than 3,No,No
265,1,200 DM or Above,22,Paid Up,Furniture,2675,"[100, 500)",Above 7,"[20%, 25%)","Male, Married/Widowed",None,Above 7,Life Insurance,40,None,Rented,1,Skilled,3 or More,No,No
266,1,None,9,Paid Up,Furniture,2118,None,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",None,37,None,Rented,1,Unskilled Permanent Resident,Less than 3,No,No
267,1,200 DM or Above,36,Paid Up,Other,909,"[100, 500)",Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Car,36,None,Rented,1,Skilled,3 or More,No,No
268,1,200 DM or Above,12,Previous Credits Paid,Used Car,1258,None,<1 Year,"(25%, 35%)","Male, Single",None,Above 7,Car,22,None,Free,2 or 3,Unskilled Permanent Resident,3 or More,No,No
269,1,200 DM or Above,15,Other Credits,Furniture,1569,Below 100 DM,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,34,Other Banks,Rented,1,Unskilled Permanent Resident,Less than 3,No,No
270,1,200 DM or Above,6,Paid Up,New Car,1236,"[100, 500)","[1, 4)","(25%, 35%)","Male, Married/Widowed",None,Above 7,Car,50,None,Free,1,Skilled,3 or More,No,No
271,1,200 DM or Above,36,No Problem with Current Credits,Used Car,7678,"[100, 500)","[4, 7)","(25%, 35%)","Male, Single",None,Above 7,Life Insurance,40,None,Rented,2 or 3,Skilled,3 or More,Yes,No
272,1,200 DM or Above,6,Paid Up,Appliances,660,"[100, 500)","[4, 7)","(25%, 35%)",Female,None,Above 7,None,23,None,Free,1,Unskilled Permanent Resident,3 or More,No,No
273,1,200 DM or Above,24,Paid Up,Used Car,2835,"[100, 500)",Above 7,"[20%, 25%)","Male, Married/Widowed",None,Above 7,Car,53,None,Rented,1,Skilled,3 or More,No,No
274,1,200 DM or Above,24,Paid Up,New Car,2670,None,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,35,None,Rented,1,Executive,3 or More,Yes,No
275,1,200 DM or Above,12,Other Credits,Vacation,3447,"[100, 500)","[1, 4)",Below 20%,"Male, Single",None,"[4, 7)",None,35,None,Rented,1,Unskilled Permanent Resident,Less than 3,No,No
276,1,200 DM or Above,15,Paid Up,Furniture,3568,None,Above 7,Below 20%,"Male, Single",None,"[1, 4)",Life Insurance,54,Other Banks,Free,1,Executive,3 or More,Yes,No
277,1,None,21,Previous Credits Paid,Retraining,3652,None,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,"[4, 7)",Car,27,None,Rented,2 or 3,Skilled,3 or More,No,No
278,1,No Account,24,Paid Up,Furniture,3660,None,"[1, 4)","(25%, 35%)","Male, Single",None,Above 7,Life Insurance,28,None,Rented,1,Skilled,3 or More,No,No
279,1,Below 200 DM,9,Paid Up,Furniture,1126,Below 100 DM,Above 7,"(25%, 35%)","Male, Divorced",None,Above 7,None,49,None,Rented,1,Skilled,3 or More,No,No
280,1,Below 200 DM,6,No Problem with Current Credits,Furniture,683,None,<1 Year,"(25%, 35%)","Male, Single",None,<1 Year,Car,29,Other Banks,Rented,1,Skilled,3 or More,No,No
